"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"1","MIDTOWN WEST","47  CONDO NON-BUSINESS STORAGE","4","1042","1316",,"RS","310 WEST 52ND STREET","SU1","10019","0","0","1","0","0","2005","4","RS","$0","01/01/2016","40.76374","-73.98568","104","3","1087538","1010427502","133","MN0402"
"1","FINANCIAL","14  RENTALS - 4-10 UNIT","2A","7","38",,"S9","60 PEARL STREET",,"10004","3","2","5","1,491","7,485","1900","2","S9","$4,027,000","01/01/2016","40.703553","-74.011152","101","1","1000014","1000070038","9","MN0101"
"1","HARLEM-EAST","01  ONE FAMILY DWELLINGS","1","1643","122",,"A4","155 EAST 115 STREET",,"10029","1","0","1","1,345","2,800","1900","1","A4","$0","01/01/2016","40.797761","-73.941667","111","8","1052276","1016430122","182","MN1102"
"1","HARLEM-EAST","07  RENTALS - WALKUP APARTMENTS","2","1643","123",,"C5","157 EAST 115 STREET",,"10029","12","1","13","1,345","3,535","1900","2","C5","$0","01/01/2016","40.797744","-73.941627","111","8","1052277","1016430123","182","MN1102"
"1","MIDTOWN EAST","13  CONDOS - ELEVATOR APARTMENTS","2","1320","4247",,"R4","211 EAST 46TH   STREET","33J","10017","1","0","1","0","0","1979","2","R4","$0","01/01/2016","40.753118","-73.972085","106","4","1037599","1013207506","90","MN0604"
"1","MIDTOWN EAST","13  CONDOS - ELEVATOR APARTMENTS","2","1365","1526",,"R4","400 EAST 54TH   STREET","30H","10022","1","0","1","0","0","1972","2","R4","$0","01/01/2016","40.756237","-73.963995","106","4","1076281","1013657502","8603","MN0604"
"1","MIDTOWN WEST","13  CONDOS - ELEVATOR APARTMENTS","2","1042","1314",,"R4","310 WEST 52ND STREET","PHC","10019","1","0","1","0","0","2005","2","R4","$0","01/01/2016","40.76374","-73.98568","104","3","1087538","1010427502","133","MN0402"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$0","01/01/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$0","01/01/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MURRAY HILL","13  CONDOS - ELEVATOR APARTMENTS","2","869","1066",,"R4","445 5 AVENUE","17E","10016","1","0","1","0","0","1986","2","R4","$0","01/01/2016","40.751512","-73.981864","105","4","1017603","1008697501","82","MN0502"
"1","MURRAY HILL","13  CONDOS - ELEVATOR APARTMENTS","2","869","1168",,"R4","445 5 AVENUE","31B","10016","1","0","1","0","0","0","2","R4","$0","01/01/2016","40.751512","-73.981864","105","4","1017603","1008697501","82","MN0502"
"1","TRIBECA","14  RENTALS - 4-10 UNIT","2A","143","13",,"S3","181 DUANE STREET",,"10013","3","1","4","1,020","5,950","1920","2","S3","$0","01/01/2016","40.717412","-74.010176","101","1","1001547","1001430013","39","MN0102"
"1","UPPER EAST SIDE (59-79)","13  CONDOS - ELEVATOR APARTMENTS","2","1397","1299",,"R4","166 EAST 63RD   STREET","10H","10065","1","0","1","0","0","1959","2","R4","$0","01/01/2016","40.764394","-73.965579","108","4","1042051","1013977503","11402","MN0802"
"1","UPPER WEST SIDE (79-96)","14  RENTALS - 4-10 UNIT","2B","1229","40",,"S9","210 WEST 82ND STREET",,"10024","6","3","9","2,758","11,290","1900","2","S9","$0","01/01/2016","40.785268","-73.97733","107","6","1032690","1012290040","167","MN0702"
"2","PELHAM PARKWAY SOUTH","22  STORE BUILDINGS","4","4320","1",,"K1","2140 HOLLAND AVENUE",,"10462","0","1","1","12,500","22,680","1932","4","K1","$384,000","01/01/2016","40.854793","-73.86573","211","13","2049411","2043200001","22403","BX1101"
"2","PELHAM PARKWAY SOUTH","22  STORE BUILDINGS","4","4320","1",,"K1","2140 HOLLAND AVENUE",,"10462","0","1","1","12,500","22,680","1932","4","K1","$384,000","01/01/2016","40.854793","-73.86573","211","13","2049411","2043200001","22403","BX1101"
"2","PELHAM PARKWAY SOUTH","22  STORE BUILDINGS","4","4320","1",,"K1","2140 HOLLAND AVENUE",,"10462","0","1","1","12,500","22,680","1932","4","K1","$2,288,000","01/01/2016","40.854793","-73.86573","211","13","2049411","2043200001","22403","BX1101"
"2","PELHAM PARKWAY SOUTH","22  STORE BUILDINGS","4","4320","1",,"K1","2140 HOLLAND AVENUE",,"10462","0","1","1","12,500","22,680","1932","4","K1","$384,000","01/01/2016","40.854793","-73.86573","211","13","2049411","2043200001","22403","BX1101"
"2","SCHUYLERVILLE/PELHAM BAY","21  OFFICE BUILDINGS","4","4196","7",,"O5","3049 BUHRE AVENUE",,"10461","0","2","2","7,550","8,550","1925","4","O5","$0","01/01/2016","40.847512","-73.830934","210","13","2046602","2041960007","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","21  OFFICE BUILDINGS","4","4196","7",,"O5","3049 BUHRE AVENUE",,"10461","0","2","2","7,550","8,550","1925","4","O5","$336,000","01/01/2016","40.847512","-73.830934","210","13","2046602","2041960007","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","21  OFFICE BUILDINGS","4","4196","7",,"O5","3049 BUHRE AVENUE",,"10461","0","2","2","7,550","8,550","1925","4","O5","$336,000","01/01/2016","40.847512","-73.830934","210","13","2046602","2041960007","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","31  COMMERCIAL VACANT LAND","4","4196","13",,"V1","N/A WESTCHESTER AVENUE",,"10461","0","0","0","6,103","0","0","4","V1","$0","01/01/2016",,,,,,,,
"2","SCHUYLERVILLE/PELHAM BAY","31  COMMERCIAL VACANT LAND","4","4196","13",,"V1","N/A WESTCHESTER AVENUE",,"10461","0","0","0","6,103","0","0","4","V1","$0","01/01/2016",,,,,,,,
"2","SCHUYLERVILLE/PELHAM BAY","31  COMMERCIAL VACANT LAND","4","4196","13",,"V1","N/A WESTCHESTER AVENUE",,"10461","0","0","0","6,103","0","0","4","V1","$0","01/01/2016",,,,,,,,
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","9",,"P9","3060 WESTCHESTER AVENUE",,"10461","0","1","1","4,568","4,568","1937","4","P9","$480,000","01/01/2016","40.848317","-73.831069","210","13","2046603","2041960009","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","9",,"P9","3060 WESTCHESTER AVENUE",,"10461","0","1","1","4,568","4,568","1937","4","P9","$480,000","01/01/2016","40.848317","-73.831069","210","13","2046603","2041960009","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","9",,"P9","3060 WESTCHESTER AVENUE",,"10461","0","1","1","4,568","4,568","1937","4","P9","$0","01/01/2016","40.848317","-73.831069","210","13","2046603","2041960009","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","11",,"P9","3074 WESTCHESTER AVENUE",,"10461","0","1","1","5,336","5,336","1984","4","P9","$0","01/01/2016","40.848585","-73.83091","210","13","2087150","2041960011","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","11",,"P9","3074 WESTCHESTER AVENUE",,"10461","0","1","1","5,336","5,336","1984","4","P9","$0","01/01/2016","40.848585","-73.83091","210","13","2087150","2041960011","26602","BX1003"
"2","SCHUYLERVILLE/PELHAM BAY","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","4196","11",,"P9","3074 WESTCHESTER AVENUE",,"10461","0","1","1","5,336","5,336","1984","4","P9","$0","01/01/2016","40.848585","-73.83091","210","13","2087150","2041960011","26602","BX1003"
"2","WESTCHESTER","22  STORE BUILDINGS","4","3988","34",,"K1","2722 EAST TREMONT AVENUE",,"10461","0","1","1","7,125","6,975","1939","4","K1","$288,000","01/01/2016","40.84243","-73.845151","210","13","2041966","2039880034","200","BX1001"
"2","WESTCHESTER","22  STORE BUILDINGS","4","3988","34",,"K1","2722 EAST TREMONT AVENUE",,"10461","0","1","1","7,125","6,975","1939","4","K1","$2,392,000","01/01/2016","40.84243","-73.845151","210","13","2041966","2039880034","200","BX1001"
"2","WESTCHESTER","22  STORE BUILDINGS","4","3988","34",,"K1","2722 EAST TREMONT AVENUE",,"10461","0","1","1","7,125","6,975","1939","4","K1","$288,000","01/01/2016","40.84243","-73.845151","210","13","2041966","2039880034","200","BX1001"
"2","WILLIAMSBRIDGE","22  STORE BUILDINGS","4","4835","6",,"K1","4171 WHITE PLAINS ROAD",,"10466","0","1","1","9,188","8,748","1930","4","K1","$320,000","01/01/2016","40.892902","-73.85766","212","12","2063283","2048350006","420","BX1203"
"2","WILLIAMSBRIDGE","22  STORE BUILDINGS","4","4835","6",,"K1","4171 WHITE PLAINS ROAD",,"10466","0","1","1","9,188","8,748","1930","4","K1","$320,000","01/01/2016","40.892902","-73.85766","212","12","2063283","2048350006","420","BX1203"
"2","WILLIAMSBRIDGE","22  STORE BUILDINGS","4","4835","6",,"K1","4171 WHITE PLAINS ROAD",,"10462","0","1","1","9,188","8,748","1930","4","K1","$0","01/01/2016","40.892902","-73.85766","212","12","2063283","2048350006","420","BX1203"
"2","WILLIAMSBRIDGE","22  STORE BUILDINGS","4","4835","6",,"K1","4171 WHITE PLAINS ROAD",,"10466","0","1","1","9,188","8,748","1930","4","K1","$320,000","01/01/2016","40.892902","-73.85766","212","12","2063283","2048350006","420","BX1203"
"3","BAY RIDGE","05  TAX CLASS 1 VACANT LAND","1B","6107","68",,"V0","N/A 94TH   STREET",,"11209","0","0","0","1,081","0","0","1","V0","$0","01/01/2016",,,,,,,,
"3","BAY RIDGE","08  RENTALS - ELEVATOR APARTMENTS","2","6116","8",,"D1","101 MARINE AVE",,"11209","30","0","30","5,040","24,480","1930","2","D1","$0","01/01/2016","40.617626","-74.036254","310","43","3155540","3061160008","54","BK1001"
"3","BAY RIDGE","29  COMMERCIAL GARAGES","4","6107","1",,"G2","9321 3 AVENUE",,"11209","0","1","1","12,667","1,680","1955","4","G2","$0","01/01/2016","40.618453","-74.033096","310","43","3155238","3061070001","58","BK1001"
"3","BOROUGH PARK","01  ONE FAMILY DWELLINGS","1","5543","53",,"A5","2159 64TH   STREET",,"11204","1","0","1","2,000","2,160","1920","1","A5","$0","01/01/2016","40.615033","-73.981789","311","47","3133332","3055430053","254","BK1101"
"3","BOROUGH PARK","02  TWO FAMILY DWELLINGS","1","5468","30",,"B1","1860 51ST STREET",,"11204","2","0","2","2,170","3,408","1945","1","B1","$0","01/01/2016","40.626155","-73.980464","312","44","3129730","3054680030","472","BK1202"
"3","BOROUGH PARK","07  RENTALS - WALKUP APARTMENTS","2","5736","65",,"C1","969 64TH   STREET","16","11219","16","0","16","4,000","13,920","1931","2","C1","$0","01/01/2016","40.630957","-74.008117","310","38","3141715","3057360065","212","BK1002"
"3","BRIGHTON BEACH","08  RENTALS - ELEVATOR APARTMENTS","2","8714","15",,"D1","3015 BRIGHTON 13TH STREET","60","11235","60","0","60","14,350","64,080","1942","2","D1","$0","01/01/2016","40.579948","-73.95553","313","48","3245566","3087140015","61004","BK1303"
"3","BROOKLYN HEIGHTS","07  RENTALS - WALKUP APARTMENTS","2B","210","17",,"C1","44 HICKS STREET","8","11201","8","0","8","1,545","4,080","1910","2","C1","$0","01/01/2016","40.700641","-73.993299","302","33","3001531","3002100017","1","BK0201"
"3","BROOKLYN HEIGHTS","22  STORE BUILDINGS","4","274","14",,"K2","89-91 ATLANTIC AVENUE",,"11201","0","2","2","3,000","4,500","1910","4","K2","$0","01/01/2016","40.691049","-73.997227","302","33","3002715","3002740014","7","BK0201"
