"borough","neighborhood","avg_sale_price","total_complaints"
"BRONX","MOUNT HOPE/MOUNT EDEN","2934087","65427"
"BRONX","MOTT HAVEN/PORT MORRIS","2385361","65427"
"BRONX","FORDHAM","2293807","65427"
"BROOKLYN","SPRING CREEK","5381216","79607"
"BROOKLYN","BROOKLYN HEIGHTS","4033919","79607"
"BROOKLYN","GOWANUS","3315767","79607"
"MANHATTAN","GREENWICH VILLAGE-CENTRAL","10901090","68340"
"MANHATTAN","GREENWICH VILLAGE-WEST","6436038","68340"
"MANHATTAN","MIDTOWN CBD","6382657","68340"
"QUEENS","LONG ISLAND CITY","5344690","61552"
"QUEENS","HOLLISWOOD","2518501","61552"
"QUEENS","ELMHURST","1838395","61552"
"STATEN ISLAND","TODT HILL","1483831","12467"
"STATEN ISLAND","ROSSVILLE-RICHMOND VALLEY","997186","12467"
"STATEN ISLAND","RICHMONDTOWN-LIGHTHS HILL","990252","12467"
