"month","sales_count","avg_sale_price","complaints_count"
"2016-01","3085","1507239","7"
"2016-03","3534","1570402","1"
"2016-04","3163","1379629","3"
"2016-05","3434","1446083","1"
"2016-07","3314","1390118","3"
"2016-08","3748","1185539","6"
"2016-09","3575","1465833","6"
"2016-10","3012","1209700","3"
"2016-11","3123","1241003","2"
"2016-12","3526","1663868","2"
"2017-01","3370","1337690","18"
"2017-02","3101","1274231","4"
"2017-03","3773","1292251","3"
"2017-04","3248","1285233","1"
"2017-06","4143","1335389","5"
"2017-07","3300","1260274","4"
"2017-08","4011","1205931","2"
"2017-09","3327","1141740","2"
"2017-10","3546","1108975","2"
"2017-12","3432","1441995","4"
"2018-01","3346","1296212","10"
"2018-02","2958","1298310","3"
"2018-03","3425","1511507","8"
"2018-04","3144","1243382","3"
"2018-05","3569","1446597","5"
"2018-06","3774","1245734","2"
"2018-08","3757","1243568","5"
"2018-09","3036","1401682","3"
"2018-10","3580","1209965","5"
"2018-11","3100","1671377","2"
"2019-01","2943","1311269","20"
"2019-02","2589","1714482","5"
"2019-03","3033","1305774","3"
"2019-04","3234","2158250","3"
"2019-05","3485","1401108","6"
"2019-06","3701","2029821","4"
"2019-07","3198","1135167","6"
"2019-08","3397","1194980","4"
"2019-09","3153","1119630","1"
"2019-10","3464","1518574","5"
"2019-11","2971","1303099","4"
"2019-12","3338","1587116","6"
"2020-01","3386","3002372","20"
"2020-02","2886","1403920","7"
"2020-03","2618","1315486","12"
"2020-04","1520","1474857","4"
"2020-05","1697","1169333","17"
"2020-06","2127","1168403","13"
"2020-07","2065","1341193","7"
"2020-08","2040","1201667","6"
"2020-09","2520","1889648","5"
"2020-10","3100","1328818","5"
"2020-11","2930","1245144","8"
"2020-12","3762","1418173","4"
"2021-01","3072","1125855","16"
"2021-02","3044","1107015","6"
"2021-03","3951","1266366","13"
"2021-04","3919","2191611","11"
"2021-05","3906","1764715","11"
"2021-06","4658","1680735","12"
"2021-07","4409","1422816","5"
"2021-08","4913","1425595","10"
"2021-09","4041","1545633","11"
"2021-10","4219","1721826","17"
"2021-11","3866","2112013","12"
"2021-12","4948","3500539","22"
"2022-01","3827","1527959","43"
"2022-02","3722","1787641","14"
"2022-03","4372","1814456","29"
"2022-04","3826","1919103","12"
"2022-05","4206","1838669","20"
"2022-06","4590","1952122","23"
"2022-07","3970","6039111","25"
"2022-08","3980","1568963","18"
"2022-09","3488","1895090","22"
"2022-10","2933","1581047","18"
"2022-11","2910","1845531","31"
"2022-12","2926","1572864","20"
"2023-01","2443","2229467","61"
"2023-02","2119","1347994","29"
"2023-03","3240","2369485","55"
"2023-04","2457","1670290","35"
"2023-05","3070","1538616","55"
"2023-06","3250","1718022","61"
"2023-07","2829","1467556","52"
"2023-08","3403","1520120","44"
"2023-09","2870","1605779","53"
"2023-10","2835","1854528","67"
"2023-11","2517","1400045","61"
"2023-12","2684","1483071","76"
"2024-01","2524","1424061","323"
"2024-02","2351","1348377","177"
"2024-03","2612","1381089","183"
"2024-04","2768","1446649","221"
"2024-05","3150","1813110","222"
"2024-06","2969","1727960","272"
"2024-07","3106","1753437","280"
"2024-08","2940","1417598","378"
"2024-09","2978","1780163","450"
"2024-10","3140","2613734","713"
"2024-11","2763","1888523","1089"
"2024-12","3089","1728986","3401"
