"ofns_desc","total_complaints"
"PETIT LARCENY","52082"
"HARRASSMENT 2","42520"
"ASSAULT 3 & RELATED OFFENSES","30201"
"GRAND LARCENY","22261"
"CRIMINAL MISCHIEF & RELATED OF","18053"
"FELONY ASSAULT","14452"
"VEHICLE AND TRAFFIC LAWS","13052"
"MISCELLANEOUS PENAL LAW","10018"
"DANGEROUS DRUGS","9905"
"OFF. AGNST PUB ORD SENSBLTY &","9079"
"OTHER OFFENSES RELATED TO THEFT","9058"
"ROBBERY","7170"
"GRAND LARCENY OF MOTOR VEHICLE","6452"
"BURGLARY","6177"
"SEX CRIMES","5028"
"OFFENSES AGAINST PUBLIC ADMINI","4811"
"DANGEROUS WEAPONS","4632"
"FORGERY","3427"
"ADMINISTRATIVE CODE","2629"
"OTHER STATE LAWS","2347"
"CRIMINAL TRESPASS","2076"
"INTOXICATED & IMPAIRED DRIVING","1871"
"THEFT-FRAUD","1521"
"FRAUDS","1505"
"OFFENSES INVOLVING FRAUD","1267"
"POSSESSION OF STOLEN PROPERTY","1066"
"RAPE","982"
"OFFENSES AGAINST THE PERSON","903"
"UNAUTHORIZED USE OF A VEHICLE","698"
"PETIT LARCENY OF MOTOR VEHICLE","448"
"PROSTITUTION & RELATED OFFENSES","391"
"OTHER STATE LAWS (NON PENAL LAW)","370"
"BURGLAR'S TOOLS","280"
"ARSON","237"
"GAMBLING","229"
"CANNABIS RELATED OFFENSES","157"
"MURDER & NON-NEGL. MANSLAUGHTER","147"
"OFFENSES AGAINST PUBLIC SAFETY","107"
"DISORDERLY CONDUCT","82"
"KIDNAPPING & RELATED OFFENSES","82"
"ALCOHOLIC BEVERAGE CONTROL LAW","59"
"CHILD ABANDONMENT/NON SUPPORT 1","52"
"FRAUDULENT ACCOSTING","39"
"ESCAPE 3","33"
"JOSTLING","20"
"ANTICIPATORY OFFENSES","16"
"OFFENSES RELATED TO CHILDREN","11"
"UNLAWFUL POSS. WEAP. ON SCHOOL","10"
"NEW YORK CITY HEALTH CODE","8"
"HOMICIDE-NEGLIGENT,UNCLASSIFIE","8"
"LOITERING/GAMBLING (CARDS, DIC","3"
"INTOXICATED/IMPAIRED DRIVING","2"
"LOITERING","2"
"FORTUNE TELLING","1"
