"precinct","borough","total_complaints","percent_of_nyc"
75,"BROOKLYN","9125","3.17"
40,"BRONX","8546","2.97"
14,"MANHATTAN","8076","2.80"
44,"BRONX","7266","2.52"
47,"BRONX","6680","2.32"
103,"QUEENS","6393","2.22"
43,"BRONX","6242","2.17"
67,"BROOKLYN","5960","2.07"
46,"BRONX","5703","1.98"
73,"BROOKLYN","5535","1.92"
114,"QUEENS","5501","1.91"
109,"QUEENS","5376","1.87"
52,"BRONX","5370","1.86"
48,"BRONX","5252","1.82"
18,"MANHATTAN","5149","1.79"
42,"BRONX","5129","1.78"
110,"QUEENS","5030","1.75"
120,"STATEN ISLAND","4994","1.73"
115,"QUEENS","4722","1.64"
49,"BRONX","4455","1.55"
1,"MANHATTAN","4440","1.54"
60,"BROOKLYN","4230","1.47"
13,"MANHATTAN","4167","1.45"
79,"BROOKLYN","4167","1.45"
41,"BRONX","4100","1.42"
83,"BROOKLYN","4050","1.41"
19,"MANHATTAN","3977","1.38"
113,"QUEENS","3896","1.35"
45,"BRONX","3854","1.34"
34,"MANHATTAN","3814","1.32"
70,"BROOKLYN","3769","1.31"
32,"MANHATTAN","3612","1.25"
84,"BROOKLYN","3524","1.22"
62,"BROOKLYN","3440","1.19"
107,"QUEENS","3433","1.19"
77,"BROOKLYN","3409","1.18"
121,"STATEN ISLAND","3387","1.18"
104,"QUEENS","3324","1.15"
23,"MANHATTAN","3323","1.15"
108,"QUEENS","3318","1.15"
106,"QUEENS","3310","1.15"
25,"MANHATTAN","3279","1.14"
102,"QUEENS","3166","1.10"
61,"BROOKLYN","3162","1.10"
90,"BROOKLYN","3023","1.05"
5,"MANHATTAN","2835","0.98"
72,"BROOKLYN","2834","0.98"
81,"BROOKLYN","2825","0.98"
50,"BRONX","2822","0.98"
28,"MANHATTAN","2816","0.98"
71,"BROOKLYN","2814","0.98"
116,"QUEENS","2810","0.98"
101,"QUEENS","2791","0.97"
6,"MANHATTAN","2787","0.97"
112,"QUEENS","2776","0.96"
9,"MANHATTAN","2674","0.93"
24,"MANHATTAN","2614","0.91"
122,"STATEN ISLAND","2599","0.90"
105,"QUEENS","2574","0.89"
66,"BROOKLYN","2559","0.89"
63,"BROOKLYN","2513","0.87"
33,"MANHATTAN","2485","0.86"
68,"BROOKLYN","2425","0.84"
7,"MANHATTAN","2361","0.82"
78,"BROOKLYN","2262","0.79"
30,"MANHATTAN","2253","0.78"
88,"BROOKLYN","2236","0.78"
94,"BROOKLYN","2129","0.74"
20,"MANHATTAN","2098","0.73"
69,"BROOKLYN","2090","0.73"
10,"MANHATTAN","2057","0.71"
111,"QUEENS","1778","0.62"
17,"MANHATTAN","1667","0.58"
26,"MANHATTAN","1626","0.56"
123,"STATEN ISLAND","1486","0.52"
76,"BROOKLYN","1479","0.51"
100,"QUEENS","1345","0.47"
22,"MANHATTAN","140","0.05"
114,"MANHATTAN","84","0.03"
104,"BROOKLYN","37","0.01"
83,"QUEENS","4","0.00"
108,"BROOKLYN","2","0.00"
50,"MANHATTAN","2","0.00"
75,"BRONX","2","0.00"
113,"MANHATTAN","2","0.00"
102,"BROOKLYN","1","0.00"
101,"MANHATTAN","1","0.00"
94,"QUEENS","1","0.00"
107,"MANHATTAN","1","0.00"
88,"BRONX","1","0.00"
34,"BROOKLYN","1","0.00"
14,"QUEENS","1","0.00"
18,"QUEENS","1","0.00"
75,"QUEENS","1","0.00"
23,"BROOKLYN","1","0.00"
71,"BRONX","1","0.00"
34,"BRONX","1","0.00"
52,"BROOKLYN","1","0.00"
114,"BRONX","1","0.00"
28,"BRONX","1","0.00"
5,"QUEENS","1","0.00"
28,"BROOKLYN","1","0.00"
33,"BRONX","1","0.00"
5,"BROOKLYN","1","0.00"
33,"BROOKLYN","1","0.00"
44,"STATEN ISLAND","1","0.00"
13,"BROOKLYN","1","0.00"
