"boro_name","neighborhood","avg_price","avg_sqft","avg_price_per_sqft","ranking"
"Bronx","MOTT HAVEN/PORT MORRIS","2498982","6529","557","1"
"Bronx","FIELDSTON","1714072","3601","522","2"
"Bronx","RIVERDALE","1215571","4632","485","3"
"Bronx","CITY ISLAND","581471","1768","377","4"
"Bronx","COUNTRY CLUB","639138","1990","353","5"
"Brooklyn","WILLIAMSBURG-NORTH","6604343","6875","1490","1"
"Brooklyn","BROOKLYN HEIGHTS","5556677","4787","1431","2"
"Brooklyn","COBBLE HILL","4186311","3754","1295","3"
"Brooklyn","DOWNTOWN-FULTON FERRY","4529788","5461","1272","4"
"Brooklyn","BOERUM HILL","3589856","3396","1191","5"
"Manhattan","MIDTOWN CBD","11997726","7471","2862","1"
"Manhattan","GREENWICH VILLAGE-WEST","9080557","7007","2503","2"
"Manhattan","CIVIC CENTER","7698629","4320","2069","3"
"Manhattan","FASHION","10900805","14015","1953","4"
"Manhattan","GREENWICH VILLAGE-CENTRAL","11728807","9815","1899","5"
"Queens","LONG ISLAND CITY","2594816","6608","866","1"
"Queens","FOREST HILLS","1292948","2965","656","2"
"Queens","FLUSHING-NORTH","1170133","2325","632","3"
"Queens","OAKLAND GARDENS","991318","2065","631","4"
"Queens","FRESH MEADOWS","952500","1622","615","5"
"Staten Island","NEW BRIGHTON-ST. GEORGE","1426272","3478","510","1"
"Staten Island","RICHMONDTOWN-LIGHTHS HILL","990252","2337","471","2"
"Staten Island","OAKWOOD","654868","1538","462","3"
"Staten Island","DONGAN HILLS-COLONY","906169","2273","446","4"
"Staten Island","TODT HILL","1487409","3734","440","5"
